StoreNumber,minuteClinicID,opticalClinicID,storeType,covaxInd,bannerBrandInd,bannerBrandDesc,minuteClinicName,pharmacyNCPDPProviderIdentifier,addressLine,addressCityDescriptionText,addressState,addressZipCode,addressCountry,geographicLatitudePoint,geographicLongitudePoint,indicatorStoreTwentyFourHoursOpen,indicatorPrescriptionService,indicatorPhotoCenterService,indicatorMinuteClinicService,indicatorOpticalService,instorePickupService,indicatorDriveThruService,indicatorPharmacyTwentyFourHoursOpen,rxConvertedFlag,indicatorCircularConverted,indicatorH1N1FluShot,indicatorRxFluFlag,indicatorWicService,snapIndicator,indicatorVaccineServiceSupport,indicatorPneumoniaShotService,indicatorWeeklyAd,indicatorCVSStore,indicatorStorePickup,storeLocationTimeZone,storePhonenumber,pharmacyPhonenumber,adVersionCdCurrent,distance,locationID,waittime,hmpilstatus,sameDayStatus,addedWTLunchDuration,ageThreshold,gracePeriod,alertMessage,waitTimeEnabled,scheduleEnabled,hmpilEnabled,waitTimeOpenBuffer,waitTimeCloseBuffer,checkInReminder,sameDayEnabled,reasonforvisits,storeOpen_Mon,storeClose_Mon,storeOpen_Tue,storeClose_Tue,storeOpen_Wed,storeClose_Wed,storeOpen_Thu,storeClose_Thu,storeOpen_Fri,storeClose_Fri,storeOpen_Sat,storeClose_Sat,storeOpen_Sun,storeClose_Sun,minuteClinicOpen_Mon,minuteClinicClose_Mon,minuteClinicOpen_Tue,minuteClinicClose_Tue,minuteClinicOpen_Wed,minuteClinicClose_Wed,minuteClinicOpen_Thu,minuteClinicClose_Thu,minuteClinicOpen_Fri,minuteClinicClose_Fri,minuteClinicOpen_Sat,minuteClinicClose_Sat,minuteClinicOpen_Sun,minuteClinicClose_Sun,pharmacyOpen_Mon,pharmacyClose_Mon,pharmacyOpen_Tue,pharmacyClose_Tue,pharmacyOpen_Wed,pharmacyClose_Wed,pharmacyOpen_Thu,pharmacyClose_Thu,pharmacyOpen_Fri,pharmacyClose_Fri,pharmacyOpen_Sat,pharmacyClose_Sat,pharmacyOpen_Sun,pharmacyClose_Sun,minuteClinicNpBreakHours_Mon,minuteClinicNpBreakHours_Tue,minuteClinicNpBreakHours_Wed,minuteClinicNpBreakHours_Thu,minuteClinicNpBreakHours_Fri,minuteClinicNpBreakHours_Sat,minuteClinicNpBreakHours_Sun
1545,2044,0,0,Y,1,CVS,Inside CVS Pharmacy,3987217,1500 SPRUCE ST.,PHILADELPHIA,PA,19102,US,39.9471,-75.1667,N,Y,Y,Y,N,N,N,N,Y,Y,N,N,N,Y,N,N,Y,Y,Y,EST,2157903290,2157903290,R,7.18,3157,180+,NULL,Active,0,18,90,,Y,Y,N,0,0,30,Y,"Flu Vaccine | Illness/Injury | Skin Condition | Vaccinations (Non-COVID) | Wellness, Screening, Monitoring (Non-COVID) | Physical and non-COVID screenings | DOT Physical | TB Test/TB Read | Women's Services | Travel Health | Ear Wax Removal | Post Vaccination Side Effects | Pfizer COVID-19 Vaccine,Primary Series (ages 12 and older) | Mesa B2B | Pfizer COVID-19 Initial Doses (ages 18 months to 4 years) | COVID Testing Visit | Antigen B2B | COVID-19 Treatment | Wound Care | Wound Care I&D | Medication Refill | Symptomatic COVID POC Test | Asymptomatic COVID POC Test | Pfizer COVID-19 Bivalent Booster (ages 12 and older) | Pfizer COVID-19 Bivalent Booster (ages 5 to 11 years) | Pfizer Bivalent (ages 18 mos to 4 yrs) | Patient Care Transformation | Chronic: Diabetes, Hypertension, etc. | Sleep Assessment | Fever and Cough or Shortness of breath | Antibody Test (for a previous COVID-19 infection)",7:00 AM, 12:00 AM,7:00 AM, 12:00 AM,7:00 AM, 12:00 AM,7:00 AM, 12:00 AM,7:00 AM, 12:00 AM,7:00 AM, 12:00 AM,7:00 AM, 12:00 AM,8:30 AM, 7:30 PM,8:30 AM, 7:30 PM,8:30 AM, 7:30 PM,8:30 AM, 7:30 PM,8:30 AM, 7:30 PM,9:00 AM, 5:30 PM,9:00 AM, 4:30 PM,8:00 AM, 09:00 PM,8:00 AM, 09:00 PM,8:00 AM, 09:00 PM,8:00 AM, 09:00 PM,8:00 AM, 09:00 PM,8:30 AM, 06:00 PM,8:30 AM, 06:00 PM,1:30 PM - 2:30 PM,1:30 PM - 2:30 PM,1:30 PM - 2:30 PM,1:30 PM - 2:30 PM,1:30 PM - 2:30 PM,1:00 PM - 1:30 PM,1:00 PM - 1:30 PM
6902,819,0,0,Y,1,CVS,Inside CVS Pharmacy,3983170,1218 E LANCASTER AVE,BRYN MAWR,PA,19010,US,40.0255,-75.327,N,Y,Y,Y,N,N,N,N,Y,Y,N,N,N,Y,N,N,Y,Y,Y,EST,6105191920,6105191920,B,8.91,1067,NULL,NULL,Active,0,18,90,,N,Y,N,0,0,30,Y,"Flu Vaccine | Illness/Injury | Skin Condition | Vaccinations (Non-COVID) | Wellness, Screening, Monitoring (Non-COVID) | Physical and non-COVID screenings | DOT Physical | TB Test/TB Read | Women's Services | Travel Health | Ear Wax Removal | Post Vaccination Side Effects | Mesa B2B | Pfizer COVID-19 Initial Doses (ages 18 months to 4 years) | COVID Testing Visit | Antigen B2B | COVID-19 Treatment | Wound Care | Wound Care I&D | Medication Refill | Symptomatic COVID POC Test | Asymptomatic COVID POC Test | Pfizer COVID-19 Bivalent Booster (ages 12 and older) | Pfizer COVID-19 Bivalent Booster (ages 5 to 11 years) | Pfizer Bivalent (ages 18 mos to 4 yrs) | Patient Care Transformation | Chronic: Diabetes, Hypertension, etc. | Sleep Assessment | Fever and Cough or Shortness of breath | Antibody Test (for a previous COVID-19 infection)",7:00 AM, 11:00 PM,7:00 AM, 11:00 PM,7:00 AM, 11:00 PM,7:00 AM, 11:00 PM,7:00 AM, 11:00 PM,7:00 AM, 11:00 PM,7:00 AM, 11:00 PM,8:30 AM, 5:30 PM,8:30 AM, 6:30 PM,8:30 AM, 5:30 PM,8:30 AM, 6:30 PM,Closed,,Closed,,Closed,,8:00 AM, 08:00 PM,8:00 AM, 08:00 PM,8:00 AM, 08:00 PM,8:00 AM, 08:00 PM,8:00 AM, 08:00 PM,9:00 AM, 06:00 PM,9:00 AM, 05:00 PM,1:30 PM - 2:00 PM,1:30 PM - 2:00 PM,1:30 PM - 2:00 PM,1:30 PM - 2:00 PM,1:30 PM - 2:30 PM,1:00 PM - 1:30 PM,1:00 PM - 1:30 PM
233,1881,0,0,Y,1,CVS,Inside CVS Pharmacy,3993816,3930 WEST CHESTER PIKE,NEWTOWN SQUARE,PA,19073,US,39.985,-75.415,N,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,Y,N,N,Y,Y,Y,EST,6103532061,6103532061,B,8.94,2865,NULL,NULL,Active,0,18,90,,N,Y,N,0,0,30,Y,"Flu Vaccine | Illness/Injury | Skin Condition | Vaccinations (Non-COVID) | Wellness, Screening, Monitoring (Non-COVID) | Physical and non-COVID screenings | DOT Physical | TB Test/TB Read | Women's Services | Travel Health | Ear Wax Removal | Post Vaccination Side Effects | Mesa B2B | Pfizer COVID-19 Initial Doses (ages 18 months to 4 years) | COVID Testing Visit | Antigen B2B | COVID-19 Treatment | Wound Care | Wound Care I&D | Medication Refill | Symptomatic COVID POC Test | Asymptomatic COVID POC Test | Pfizer COVID-19 Bivalent Booster (ages 5 to 11 years) | Pfizer Bivalent (ages 18 mos to 4 yrs) | Patient Care Transformation | Chronic: Diabetes, Hypertension, etc. | Sleep Assessment | Fever and Cough or Shortness of breath | Antibody Test (for a previous COVID-19 infection)",8:00 AM, 10:00 PM,8:00 AM, 10:00 PM,8:00 AM, 10:00 PM,8:00 AM, 10:00 PM,8:00 AM, 10:00 PM,8:00 AM, 10:00 PM,8:00 AM, 10:00 PM,8:30 AM, 7:30 PM,8:30 AM, 7:30 PM,8:30 AM, 7:30 PM,8:30 AM, 7:30 PM,8:30 AM, 7:30 PM,9:00 AM, 5:30 PM,9:00 AM, 4:30 PM,8:00 AM, 09:00 PM,8:00 AM, 09:00 PM,8:00 AM, 09:00 PM,8:00 AM, 09:00 PM,8:00 AM, 09:00 PM,9:00 AM, 06:00 PM,9:00 AM, 05:00 PM,1:30 PM - 2:30 PM,1:30 PM - 2:30 PM,1:30 PM - 2:30 PM,1:30 PM - 2:30 PM,1:30 PM - 2:30 PM,1:00 PM - 1:30 PM,1:00 PM - 1:30 PM
329,2120,0,0,Y,1,CVS,Inside CVS Pharmacy,2000230,111 AUBURN ST.,PORTLAND,ME,4103,US,43.7036,-70.2885,N,Y,Y,Y,N,Y,Y,N,Y,Y,N,N,N,Y,N,N,Y,Y,N,EST,2077973393,2077973393,X,0.96,3206,NULL,NULL,Active,0,18,90,,N,N,N,0,0,30,Y,"Flu Vaccine | Pneumonia Vaccine | Illness/Injury | Skin Condition | Vaccinations (Non-COVID) | Wellness, Screening, Monitoring (Non-COVID) | Physical and non-COVID screenings | DOT Physical | TB Test/TB Read | Women's Services | Travel Health | Ear Wax Removal | Post Vaccination Side Effects | Mesa B2B | COVID Testing Visit | Antigen B2B | COVID-19 Treatment | Wound Care | Medication Refill | Symptomatic COVID POC Test | Asymptomatic COVID POC Test | Sleep Assessment | Fever and Cough or Shortness of breath | Antibody Test (for a previous COVID-19 infection)",7:00 AM, 10:00 PM,7:00 AM, 10:00 PM,7:00 AM, 10:00 PM,7:00 AM, 10:00 PM,7:00 AM, 10:00 PM,7:00 AM, 10:00 PM,7:00 AM, 10:00 PM,8:00 AM, 6:00 PM,Closed,,8:00 AM, 6:00 PM,Closed,,8:00 AM, 6:00 PM,9:00 AM, 5:30 PM,9:00 AM, 4:30 PM,8:00 AM, 08:00 PM,8:00 AM, 08:00 PM,8:00 AM, 08:00 PM,8:00 AM, 08:00 PM,8:00 AM, 08:00 PM,9:00 AM, 06:00 PM,9:00 AM, 06:00 PM,1:00 PM - 2:00 PM,1:00 PM - 2:00 PM,1:00 PM - 2:00 PM,1:00 PM - 2:00 PM,1:00 PM - 2:00 PM,1:00 PM - 1:30 PM,1:00 PM - 1:30 PM
806,2121,0,0,Y,1,CVS,Inside CVS Pharmacy,2003743,51 MARKET ST.,SOUTH PORTLAND,ME,4106,US,43.6361,-70.255,N,Y,Y,Y,N,Y,Y,N,Y,Y,N,N,N,Y,N,N,Y,Y,N,EST,2077998166,2077998166,X,4.8,3208,NULL,NULL,Active,0,18,90,This clinic is temporarily closed. Please select a different location.,N,Y,N,0,0,30,Y,"Flu Vaccine | Pneumonia Vaccine | Illness/Injury | Skin Condition | Vaccinations (Non-COVID) | Wellness, Screening, Monitoring (Non-COVID) | Physical and non-COVID screenings | DOT Physical | TB Test/TB Read | Women's Services | Travel Health | Ear Wax Removal | Post Vaccination Side Effects | Mesa B2B | Pfizer COVID-19 Initial Doses (ages 18 months to 4 years) | COVID Testing Visit | Antigen B2B | COVID-19 Treatment | Wound Care | Wound Care I&D | Medication Refill | Symptomatic COVID POC Test | Asymptomatic COVID POC Test | Patient Care Transformation | Sleep Assessment | Fever and Cough or Shortness of breath",8:00 AM, 10:00 PM,8:00 AM, 10:00 PM,8:00 AM, 10:00 PM,8:00 AM, 10:00 PM,8:00 AM, 10:00 PM,8:00 AM, 10:00 PM,8:00 AM, 10:00 PM,8:00 AM, 7:00 PM,8:00 AM, 7:00 PM,8:00 AM, 7:00 PM,8:00 AM, 7:00 PM,8:00 AM, 7:00 PM,9:00 AM, 5:30 PM,9:00 AM, 4:30 PM,8:00 AM, 09:00 PM,8:00 AM, 09:00 PM,8:00 AM, 09:00 PM,8:00 AM, 09:00 PM,8:00 AM, 09:00 PM,9:00 AM, 06:00 PM,9:00 AM, 06:00 PM,1:00 PM - 2:00 PM,1:00 PM - 2:00 PM,1:00 PM - 2:00 PM,1:00 PM - 2:00 PM,1:00 PM - 2:00 PM,1:00 PM - 1:30 PM,1:00 PM - 1:30 PM
2518,798,0,0,Y,1,CVS,Inside CVS Pharmacy,3669833,2160 N HIGH ST,COLUMBUS,OH,43201,US,40.0063,-83.009,N,Y,Y,Y,N,N,N,N,Y,Y,N,N,N,Y,N,N,Y,Y,Y,EST,6142942105,6142942105,H,0.93,1198,NULL,NULL,Active,0,18,90,,N,N,N,0,0,30,Y,"Flu Vaccine | Pneumonia Vaccine | Illness/Injury | Skin Condition | Vaccinations (Non-COVID) | Wellness, Screening, Monitoring (Non-COVID) | Physical and non-COVID screenings | DOT Physical | TB Test/TB Read | Women's Services | Travel Health | Ear Wax Removal | Post Vaccination Side Effects | Mesa B2B | Pfizer COVID-19 Initial Doses (ages 18 months to 4 years) | Antigen B2B | COVID-19 Treatment | Wound Care | Wound Care I&D | Medication Refill | Pfizer Bivalent (ages 18 mos to 4 yrs) | Patient Care Transformation | Sleep Assessment",8:00 AM, 10:00 PM,8:00 AM, 10:00 PM,8:00 AM, 10:00 PM,8:00 AM, 10:00 PM,8:00 AM, 10:00 PM,8:00 AM, 10:00 PM,8:00 AM, 10:00 PM,8:30 AM, 8:00 PM,8:30 AM, 8:00 PM,8:30 AM, 8:00 PM,8:30 AM, 8:00 PM,8:30 AM, 8:00 PM,9:00 AM, 5:30 PM,9:00 AM, 4:30 PM,8:00 AM, 08:00 PM,8:00 AM, 08:00 PM,8:00 AM, 08:00 PM,8:00 AM, 08:00 PM,8:00 AM, 08:00 PM,9:00 AM, 06:00 PM,10:00 AM, 06:00 PM,0:00 AM - 0:00 AM,0:00 AM - 0:00 AM,0:00 AM - 0:00 AM,0:00 AM - 0:00 AM,0:00 AM - 0:00 AM,0:00 AM - 0:00 AM,0:00 AM - 0:00 AM
6147,1846,0,0,Y,1,CVS,Inside CVS Pharmacy,3600637,1495 W 5TH AVE,COLUMBUS,OH,43212,US,39.9882,-83.0465,N,Y,Y,Y,N,Y,Y,N,Y,Y,N,N,N,Y,N,N,Y,Y,Y,EST,6144867159,6144867159,H,2.4,1179,NULL,NULL,Active,0,18,90,,N,Y,N,0,0,30,Y,"Flu Vaccine | Illness/Injury | Skin Condition | Vaccinations (Non-COVID) | Wellness, Screening, Monitoring (Non-COVID) | Physical and non-COVID screenings | DOT Physical | TB Test/TB Read | Women's Services | Travel Health | Ear Wax Removal | Post Vaccination Side Effects | Mesa B2B | Pfizer COVID-19 Initial Doses (ages 18 months to 4 years) | COVID Testing Visit | Antigen B2B | COVID-19 Treatment | Wound Care | Wound Care I&D | Medication Refill | Symptomatic COVID POC Test | Asymptomatic COVID POC Test | Pfizer COVID-19 Bivalent Booster (ages 5 to 11 years) | Pfizer Bivalent (ages 18 mos to 4 yrs) | Patient Care Transformation | Chronic: Diabetes, Hypertension, etc. | Sleep Assessment | Fever and Cough or Shortness of breath",8:00 AM, 12:00 AM,8:00 AM, 12:00 AM,8:00 AM, 12:00 AM,8:00 AM, 12:00 AM,8:00 AM, 12:00 AM,8:00 AM, 12:00 AM,8:00 AM, 12:00 AM,9:00 AM, 8:00 PM,9:00 AM, 8:00 PM,9:00 AM, 8:00 PM,9:00 AM, 8:00 PM,9:00 AM, 8:00 PM,9:00 AM, 5:30 PM,9:00 AM, 4:30 PM,8:00 AM, 08:00 PM,8:00 AM, 08:00 PM,8:00 AM, 08:00 PM,8:00 AM, 08:00 PM,8:00 AM, 08:00 PM,9:00 AM, 06:00 PM,10:00 AM, 06:00 PM,1:30 PM - 2:30 PM,1:30 PM - 2:30 PM,1:30 PM - 2:30 PM,1:30 PM - 2:30 PM,1:30 PM - 2:30 PM,1:00 PM - 1:30 PM,1:00 PM - 1:30 PM
6153,1605,0,0,Y,1,CVS,Inside CVS Pharmacy,3640249,2532 E MAIN ST,COLUMBUS,OH,43209,US,39.9574,-82.9315,N,Y,Y,Y,N,Y,Y,N,Y,Y,N,N,N,Y,N,N,Y,Y,Y,EST,6142353024,6142353024,H,4.5,1199,NULL,NULL,Active,0,18,90,,N,Y,N,0,0,30,Y,"Flu Vaccine | Illness/Injury | Skin Condition | Vaccinations (Non-COVID) | Wellness, Screening, Monitoring (Non-COVID) | Physical and non-COVID screenings | DOT Physical | TB Test/TB Read | Women's Services | Travel Health | Ear Wax Removal | Post Vaccination Side Effects | Pfizer COVID-19 Vaccine,Primary Series (ages 12 and older) | Pfizer COVID-19 Vaccine, Primary Series (ages 5 to 11 yrs) | Mesa B2B | Pfizer COVID-19 Initial Doses (ages 18 months to 4 years) | COVID Testing Visit | Antigen B2B | COVID-19 Treatment | Wound Care | Wound Care I&D | Medication Refill | Symptomatic COVID POC Test | Asymptomatic COVID POC Test | Pfizer COVID-19 Bivalent Booster (ages 12 and older) | Patient Care Transformation | Chronic: Diabetes, Hypertension, etc. | Sleep Assessment | Fever and Cough or Shortness of breath",7:00 AM, 11:00 PM,7:00 AM, 11:00 PM,7:00 AM, 11:00 PM,7:00 AM, 11:00 PM,7:00 AM, 11:00 PM,7:00 AM, 11:00 PM,8:00 AM, 11:00 PM,9:00 AM, 8:00 PM,9:00 AM, 8:00 PM,9:00 AM, 8:00 PM,9:00 AM, 8:00 PM,9:00 AM, 8:00 PM,9:00 AM, 5:30 PM,9:00 AM, 4:30 PM,8:00 AM, 09:00 PM,8:00 AM, 09:00 PM,9:00 AM, 08:00 PM,8:00 AM, 09:00 PM,8:00 AM, 09:00 PM,9:00 AM, 06:00 PM,10:00 AM, 06:00 PM,1:30 PM - 2:30 PM,1:30 PM - 2:30 PM,1:30 PM - 2:30 PM,1:30 PM - 2:30 PM,1:30 PM - 2:30 PM,1:00 PM - 1:30 PM,1:00 PM - 1:30 PM
6149,99,0,0,Y,1,CVS,Inside CVS Pharmacy,3601122,1885 W HENDERSON RD,UPPER ARLINGTON,OH,43220,US,40.0544,-83.0697,N,Y,Y,Y,N,Y,Y,N,Y,Y,N,N,N,Y,N,N,Y,Y,Y,EST,6144516555,6144516555,H,5.51,1190,NULL,NULL,Active,0,18,90,,N,Y,N,0,0,30,Y,"Flu Vaccine | Illness/Injury | Skin Condition | Vaccinations (Non-COVID) | Wellness, Screening, Monitoring (Non-COVID) | Physical and non-COVID screenings | DOT Physical | TB Test/TB Read | Women's Services | Travel Health | Ear Wax Removal | Post Vaccination Side Effects | Mesa B2B | Pfizer COVID-19 Initial Doses (ages 18 months to 4 years) | COVID Testing Visit | Antigen B2B | COVID-19 Treatment | Wound Care | Wound Care I&D | Medication Refill | Symptomatic COVID POC Test | Asymptomatic COVID POC Test | Pfizer COVID-19 Bivalent Booster (ages 12 and older) | Patient Care Transformation | Chronic: Diabetes, Hypertension, etc. | Sleep Assessment | Fever and Cough or Shortness of breath | Antibody Test (for a previous COVID-19 infection)",8:00 AM, 10:00 PM,8:00 AM, 10:00 PM,8:00 AM, 10:00 PM,8:00 AM, 10:00 PM,8:00 AM, 10:00 PM,8:00 AM, 10:00 PM,8:00 AM, 10:00 PM,9:00 AM, 8:00 PM,9:00 AM, 8:00 PM,9:00 AM, 8:00 PM,9:00 AM, 8:00 PM,9:00 AM, 8:00 PM,9:00 AM, 5:30 PM,9:00 AM, 4:30 PM,9:00 AM, 08:00 PM,9:00 AM, 08:00 PM,9:00 AM, 08:00 PM,9:00 AM, 08:00 PM,9:00 AM, 08:00 PM,9:00 AM, 06:00 PM,10:00 AM, 06:00 PM,1:30 PM - 2:30 PM,1:30 PM - 2:30 PM,1:30 PM - 2:30 PM,1:30 PM - 2:30 PM,1:30 PM - 2:30 PM,1:00 PM - 1:30 PM,1:00 PM - 1:30 PM
3410,94,0,0,Y,1,CVS,Inside CVS Pharmacy,3610791,60 N STYGLER RD,COLUMBUS,OH,43230,US,40.0198,-82.8898,N,Y,Y,Y,N,Y,Y,N,Y,Y,N,N,N,Y,N,N,Y,Y,Y,EST,6144752014,6144752014,H,6.19,1194,NULL,NULL,Active,0,18,90,,N,Y,N,0,0,30,Y,"Flu Vaccine | Illness/Injury | Skin Condition | Vaccinations (Non-COVID) | Wellness, Screening, Monitoring (Non-COVID) | Physical and non-COVID screenings | DOT Physical | TB Test/TB Read | Women's Services | Travel Health | Post Vaccination Side Effects | Mesa B2B | Pfizer COVID-19 Initial Doses (ages 18 months to 4 years) | COVID Testing Visit | Antigen B2B | COVID-19 Treatment | Wound Care | Wound Care I&D | Medication Refill | Symptomatic COVID POC Test | Asymptomatic COVID POC Test | Pfizer Bivalent (ages 18 mos to 4 yrs) | Patient Care Transformation | Chronic: Diabetes, Hypertension, etc. | Sleep Assessment | Fever and Cough or Shortness of breath | Antibody Test (for a previous COVID-19 infection)",8:00 AM, 10:00 PM,8:00 AM, 10:00 PM,8:00 AM, 10:00 PM,8:00 AM, 10:00 PM,8:00 AM, 10:00 PM,8:00 AM, 10:00 PM,8:00 AM, 10:00 PM,9:00 AM, 8:00 PM,9:00 AM, 8:00 PM,9:00 AM, 8:00 PM,9:00 AM, 8:00 PM,9:00 AM, 8:00 PM,9:00 AM, 5:30 PM,9:00 AM, 4:30 PM,8:00 AM, 09:00 PM,8:00 AM, 09:00 PM,8:00 AM, 09:00 PM,8:00 AM, 09:00 PM,8:00 AM, 09:00 PM,9:00 AM, 06:00 PM,10:00 AM, 06:00 PM,1:30 PM - 2:30 PM,1:30 PM - 2:30 PM,1:30 PM - 2:30 PM,1:30 PM - 2:30 PM,1:30 PM - 2:30 PM,1:00 PM - 1:30 PM,1:00 PM - 1:30 PM
3407,799,0,0,Y,1,CVS,Inside CVS Pharmacy,3610626,918 N HIGH ST,WORTHINGTON,OH,43085,US,40.0927,-83.0174,N,Y,Y,Y,N,Y,Y,N,Y,Y,N,N,N,Y,N,N,Y,Y,Y,EST,6148886366,6148886366,H,6.87,1171,NULL,NULL,Active,0,18,90,,N,Y,N,0,0,30,Y,"Flu Vaccine | Illness/Injury | Skin Condition | Vaccinations (Non-COVID) | Wellness, Screening, Monitoring (Non-COVID) | Physical and non-COVID screenings | DOT Physical | TB Test/TB Read | Women's Services | Travel Health | Ear Wax Removal | Post Vaccination Side Effects | Mesa B2B | Pfizer COVID-19 Initial Doses (ages 18 months to 4 years) | COVID Testing Visit | Antigen B2B | COVID-19 Treatment | Wound Care | Wound Care I&D | Medication Refill | Symptomatic COVID POC Test | Asymptomatic COVID POC Test | Pfizer COVID-19 Bivalent Booster (ages 12 and older) | Pfizer COVID-19 Bivalent Booster (ages 5 to 11 years) | Pfizer Bivalent (ages 18 mos to 4 yrs) | Patient Care Transformation | Chronic: Diabetes, Hypertension, etc. | Sleep Assessment | Fever and Cough or Shortness of breath",8:00 AM, 10:00 PM,8:00 AM, 10:00 PM,8:00 AM, 10:00 PM,8:00 AM, 10:00 PM,8:00 AM, 10:00 PM,8:00 AM, 10:00 PM,8:00 AM, 10:00 PM,9:00 AM, 8:00 PM,9:00 AM, 8:00 PM,9:00 AM, 8:00 PM,9:00 AM, 8:00 PM,9:00 AM, 8:00 PM,9:00 AM, 5:30 PM,9:00 AM, 4:30 PM,8:00 AM, 09:00 PM,8:00 AM, 09:00 PM,8:00 AM, 09:00 PM,8:00 AM, 09:00 PM,8:00 AM, 09:00 PM,9:00 AM, 06:00 PM,10:00 AM, 06:00 PM,1:30 PM - 2:30 PM,1:30 PM - 2:30 PM,1:30 PM - 2:30 PM,1:30 PM - 2:30 PM,1:30 PM - 2:30 PM,1:00 PM - 1:30 PM,1:00 PM - 1:30 PM
4992,1996,0,0,Y,1,CVS,Inside CVS Pharmacy,4444410,2115 UNION AVENUE,MEMPHIS,TN,38104,US,35.1336,-89.9907,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,N,Y,N,N,Y,Y,Y,CST,9012744085,9012744085,I,2.63,2880,NULL,NULL,Active,0,18,90,,N,Y,N,0,0,30,Y,"Flu Vaccine | Illness/Injury | Skin Condition | Vaccinations (Non-COVID) | Wellness, Screening, Monitoring (Non-COVID) | Physical and non-COVID screenings | DOT Physical | TB Test/TB Read | Women's Services | Travel Health | Ear Wax Removal | Post Vaccination Side Effects | Pfizer COVID-19 Vaccine,Primary Series (ages 12 and older) | Pfizer COVID-19 Vaccine, Primary Series (ages 5 to 11 yrs) | Mesa B2B | Pfizer COVID-19 Initial Doses (ages 18 months to 4 years) | COVID Testing Visit | Antigen B2B | COVID-19 Treatment | Wound Care | Wound Care I&D | Medication Refill | Symptomatic COVID POC Test | Asymptomatic COVID POC Test | Pfizer COVID-19 Bivalent Booster (ages 12 and older) | Pfizer COVID-19 Bivalent Booster (ages 5 to 11 years) | Pfizer Bivalent (ages 18 mos to 4 yrs) | Patient Care Transformation | Chronic: Diabetes, Hypertension, etc. | Sleep Assessment | Fever and Cough or Shortness of breath | Antibody Test (for a previous COVID-19 infection)",Open 24 Hours,,Open 24 Hours,,Open 24 Hours,,Open 24 Hours,,Open 24 Hours,,Open 24 Hours,,Open 24 Hours,,8:00 AM, 7:00 PM,8:00 AM, 7:00 PM,8:00 AM, 7:00 PM,8:00 AM, 7:00 PM,8:00 AM, 7:00 PM,9:00 AM, 5:30 PM,9:00 AM, 4:30 PM,Open 24 Hours,,Open 24 Hours,,Open 24 Hours,,Open 24 Hours,,Open 24 Hours,,Open 24 Hours,,Open 24 Hours,,1:00 PM - 2:00 PM,1:00 PM - 2:00 PM,1:00 PM - 2:00 PM,1:00 PM - 2:00 PM,1:00 PM - 2:00 PM,1:00 PM - 1:30 PM,1:00 PM - 1:30 PM
10204,14201,0,0,Y,1,CVS,Inside CVS Pharmacy,4446173,4155 ELVIS PRESLEY BLVD.,MEMPHIS,TN,38116,US,35.0351,-90.0256,N,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,Y,N,N,Y,Y,Y,CST,9013484642,9013484642,I,4.82,10767,NULL,NULL,Active,0,18,90,,N,Y,N,0,0,30,Y,"Flu Vaccine | Illness/Injury | Skin Condition | Vaccinations (Non-COVID) | Wellness, Screening, Monitoring (Non-COVID) | Physical and non-COVID screenings | DOT Physical | TB Test/TB Read | Women's Services | Travel Health | Ear Wax Removal | Post Vaccination Side Effects | Pfizer COVID-19 Vaccine,Primary Series (ages 12 and older) | Pfizer COVID-19 Vaccine, Primary Series (ages 5 to 11 yrs) | Mesa B2B | Pfizer COVID-19 Initial Doses (ages 18 months to 4 years) | COVID Testing Visit | Antigen B2B | COVID-19 Treatment | Wound Care | Wound Care I&D | Medication Refill | Symptomatic COVID POC Test | Asymptomatic COVID POC Test | Pfizer COVID-19 Bivalent Booster (ages 12 and older) | Pfizer Bivalent (ages 18 mos to 4 yrs) | Patient Care Transformation | Chronic: Diabetes, Hypertension, etc. | Sleep Assessment | Fever and Cough or Shortness of breath | Antibody Test (for a previous COVID-19 infection)",8:00 AM, 10:00 PM,8:00 AM, 10:00 PM,8:00 AM, 10:00 PM,8:00 AM, 10:00 PM,8:00 AM, 10:00 PM,8:00 AM, 10:00 PM,8:00 AM, 10:00 PM,8:30 AM, 6:30 PM,Closed,,8:30 AM, 6:30 PM,8:30 AM, 6:30 PM,8:30 AM, 6:30 PM,Closed,,Closed,,8:00 AM, 10:00 PM,8:00 AM, 10:00 PM,8:00 AM, 10:00 PM,8:00 AM, 10:00 PM,8:00 AM, 10:00 PM,8:00 AM, 10:00 PM,8:00 AM, 10:00 PM,1:00 PM - 2:00 PM,1:00 PM - 2:00 PM,1:00 PM - 2:00 PM,1:00 PM - 2:00 PM,1:00 PM - 2:00 PM,1:00 PM - 1:30 PM,1:00 PM - 1:30 PM
